Stock,Recovery Type,Year,Age 2,Age 3,Age 4,Age 5,Age 6,Total,% Age 2,% Age 3,% Age 4,% Age 5,% Age 6
Fish Cr+Airport Ch,Catch + Escapement,1990,,"1,600","24,233","2,059",,"27,892",0,5.7,86.9,7.4,0
Fish Cr+Airport Ch,Catch + Escapement,1991,,"1,260","5,507","3,024",,"9,791",0,12.9,56.2,30.9,0
Fish Cr+Airport Ch,Catch + Escapement,1992,,"2,299","10,091",588,80,"13,058",0,17.6,77.3,4.5,0.6
Fish Cr+Airport Ch,Catch + Escapement,1993,,"3,545","6,202","1,323",37,"11,107",0,31.9,55.8,11.9,0.3
Fish Cr+Airport Ch,Catch + Escapement,1994,,"5,577","13,773","1,351",45,"20,746",0,26.9,66.4,6.5,0.2
Fish Cr+Airport Ch,Catch + Escapement,1995,,"10,753","29,852","1,656",52,"42,313",0,25.4,70.6,3.9,0.1
Fish Cr+Airport Ch,Catch + Escapement,1996,64,"3,548","9,415",762,,"13,789",0.5,25.7,68.3,5.5,0
Fish Cr+Airport Ch,Catch + Escapement,1997,,"8,986","5,597",153,,"14,736",0,61,38,1,0
Fish Cr+Airport Ch,Catch + Escapement,1998,,"3,414","24,258",793,,"28,465",0,12,85.2,2.8,0
Fish Cr+Airport Ch,Catch + Escapement,1999,,"1,695","11,773",934,,"14,402",0,11.8,81.7,6.5,0
Fish Cr+Airport Ch,Catch + Escapement,2000,,362,"5,301",646,,"6,309",0,5.7,84,10.2,0
Fish Cr+Airport Ch,Catch + Escapement,2001,,"12,068","9,816","1,185",66,"23,135",0,52.2,42.4,5.1,0.3
Fish Cr+Airport Ch,Catch + Escapement,2002,,"10,273","15,444","1,338",,"27,055",0,38,57.1,4.9,0
Fish Cr+Airport Ch,Catch + Escapement,2003,,"17,926","36,049",781,,"54,756",0,32.7,65.8,1.4,0
Fish Cr+Airport Ch,Catch + Escapement,2004,,"6,955","138,496","8,576",,"154,027",0,4.5,89.9,5.6,0
Fish Cr+Airport Ch,Catch + Escapement,2005,,"2,394","8,816","1,943",,"13,153",0,18.2,67,14.8,0
Fish Cr+Airport Ch,Catch + Escapement,2006,,"5,638","21,000","1,112",,"27,750",0,20.3,75.7,4,0
Fish Cr+Airport Ch,Catch + Escapement,2007,,,"11,914","1,141",72,"13,127",0,0,90.8,8.7,0.5
Fish Cr+Airport Ch,Catch + Escapement,2008,,667,,697,,"1,364",0,48.9,0,51.1,0
Fish Cr+Airport Ch,Catch + Escapement,2009,,220,"3,104",,,"3,324",0,6.6,93.4,0,0
Fish Cr+Airport Ch,Catch + Escapement,2010,,253,563,159,,975,0,25.9,57.7,16.3,0
Fish Cr+Airport Ch,Catch + Escapement,2011,,,"7,677",236,,"7,913",0,0,97,3,0
Fish Cr+Airport Ch,Catch + Escapement,2012,,"15,586","4,883","3,668",,"24,137",0,64.6,20.2,15.2,0
Fish Cr+Airport Ch,Catch + Escapement,2013,,"2,149","53,017","1,980",53,"57,199",0,3.8,92.7,3.5,0.1
Fish Cr+Airport Ch,Catch + Escapement,2014,,"3,131","3,847","1,609",,"8,587",0,36.5,44.8,18.7,0
Fish Cr+Airport Ch,Catch + Escapement,2015,,"7,335","38,664",741,,"46,740",0,15.7,82.7,1.6,0
Fish Cr+Airport Ch,Catch + Escapement,2016,,"17,884","16,340","1,120",,"35,344",0,50.6,46.2,3.2,0
Fish Cr+Airport Ch,Catch + Escapement,2017,,"7,021","27,947","2,045",,"37,013",0,19,75.5,5.5,0
Fish Cr+Airport Ch,Catch + Escapement,2018,,"13,410","24,233","1,657",,"39,300",0,34.1,61.7,4.2,0
Harrison R,Catch,1985,,"5,806",,,,"5,806",0,100,0,0,0
Harrison R,Catch,1986,,"1,055","36,079",,,"37,134",0,2.8,97.2,0,0
Harrison R,Catch,1987,,,872,935,,"1,807",0,0,48.3,51.7,0
Harrison R,Catch,1988,,,"41,354",162,,"41,516",0,0,99.6,0.4,0
Harrison R,Catch,1989,,,311,"3,456",,"3,767",0,0,8.3,91.7,0
Harrison R,Catch,1990,,,,123,22,145,0,0,0,84.8,15.2
Harrison R,Escapement,1985,,"29,048",,,,"29,048",0,100,0,0,0
Harrison R,Escapement,1986,,"1,967","81,253",,,"83,220",0,2.4,97.6,0,0
Harrison R,Escapement,1987,,"3,341","24,860","2,464",,"30,665",0,10.9,81.1,8,0
Harrison R,Escapement,1988,,"7,902","31,409","2,291",,"41,602",0,19,75.5,5.5,0
Harrison R,Escapement,1989,,,"1,416","4,431",,"5,847",0,0,24.2,75.8,0
Harrison R,Escapement,1990,,,,18,3,21,0,0,0,85.7,14.3
Harrison R,Catch + Escapement,1985,,"34,854",,,,"34,854",0,100,0,0,0
Harrison R,Catch + Escapement,1986,,"3,022","117,332",,,"120,354",0,2.5,97.5,0,0
Harrison R,Catch + Escapement,1987,,"3,341","25,732","3,399",,"32,472",0,10.3,79.2,10.5,0
Harrison R,Catch + Escapement,1988,,"7,902","72,763","2,453",,"83,118",0,9.5,87.5,3,0
Harrison R,Catch + Escapement,1989,,,"1,727","7,887",,"9,614",0,0,18,82,0
Harrison R,Catch + Escapement,1990,,,,141,26,167,0,0,0,84.4,15.6
Hirsch Cr,Catch,1987,,"1,810",,,,"1,810",0,100,0,0,0
Hirsch Cr,Catch,1988,,"1,302","3,413",,,"4,715",0,27.6,72.4,0,0
Hirsch Cr,Catch,1989,,,186,124,,310,0,0,60,40,0
Hirsch Cr,Catch,1990,,,,468,,468,0,0,0,100,0
Hirsch Cr,Catch,1991,,412,,,,412,0,100,0,0,0
Hirsch Cr,Catch,1992,,31,841,,,872,0,3.6,96.4,0,0
Hirsch Cr,Catch,1993,,175,165,,,340,0,51.5,48.5,0,0
Hirsch Cr,Catch,1994,,230,931,203,,"1,364",0,16.9,68.3,14.9,0
Hirsch Cr,Catch,1995,,135,142,109,,386,0,35,36.8,28.2,0
Hirsch Cr,Catch,1996,,"1,068",262,,,"1,330",0,80.3,19.7,0,0
Hirsch Cr,Catch,1997,,286,336,,,622,0,46,54,0,0
Hirsch Cr,Catch,1998,,949,"4,917",,,"5,866",0,16.2,83.8,0,0
Hirsch Cr,Catch,1999,,298,722,489,,"1,509",0,19.7,47.8,32.4,0
Hirsch Cr,Catch,2000,,,786,55,,841,0,0,93.5,6.5,0
Hirsch Cr,Catch,2001,,881,"1,153",,,"2,034",0,43.3,56.7,0,0
Hirsch Cr,Catch,2002,,971,"3,094",257,,"4,322",0,22.5,71.6,5.9,0
Hirsch Cr,Catch,2003,,"1,171","3,964",,,"5,135",0,22.8,77.2,0,0
Hirsch Cr,Escapement,1987,,"3,890",,,,"3,890",0,100,0,0,0
Hirsch Cr,Escapement,1988,,796,"4,251",,,"5,047",0,15.8,84.2,0,0
Hirsch Cr,Escapement,1989,,,"7,283",159,,"7,442",0,0,97.9,2.1,0
Hirsch Cr,Escapement,1991,,"1,321",,,,"1,321",0,100,0,0,0
Hirsch Cr,Escapement,1992,,209,"22,914",,,"23,123",0,0.9,99.1,0,0
Hirsch Cr,Escapement,1993,,"1,738","3,560","5,163",,"10,461",0,16.6,34,49.4,0
Hirsch Cr,Escapement,1994,,"4,629","26,946","3,831",,"35,406",0,13.1,76.1,10.8,0
Hirsch Cr,Escapement,1995,,"14,522","14,679","5,490",288,"34,979",0,41.5,42,15.7,0.8
Hirsch Cr,Escapement,1996,,"14,411","12,744",340,,"27,495",0,52.4,46.4,1.2,0
Hirsch Cr,Escapement,1997,,"1,823","9,678",352,,"11,853",0,15.4,81.7,3,0
Hirsch Cr,Escapement,1998,,,"45,510",792,,"46,302",0,0,98.3,1.7,0
Hirsch Cr,Escapement,1999,,744,,"1,020",,"1,764",0,42.2,0,57.8,0
Hirsch Cr,Escapement,2000,,,346,,,346,0,0,100,0,0
Hirsch Cr,Escapement,2001,,"1,164",,,,"1,164",0,100,0,0,0
Hirsch Cr,Escapement,2002,,"2,118","3,932",,,"6,050",0,35,65,0,0
Hirsch Cr,Escapement,2003,,50,301,14,,365,0,13.7,82.5,3.8,0
Hirsch Cr,Catch + Escapement,1987,,"5,700",,,,"5,700",0,100,0,0,0
Hirsch Cr,Catch + Escapement,1988,,"2,098","7,664",,,"9,762",0,21.5,78.5,0,0
Hirsch Cr,Catch + Escapement,1989,,,"7,469",283,,"7,752",0,0,96.3,3.7,0
Hirsch Cr,Catch + Escapement,1990,,,,468,,468,0,0,0,100,0
Hirsch Cr,Catch + Escapement,1991,,"1,733",,,,"1,733",0,100,0,0,0
Hirsch Cr,Catch + Escapement,1992,,240,"23,755",,,"23,995",0,1,99,0,0
Hirsch Cr,Catch + Escapement,1993,,"1,913","3,725","5,163",,"10,801",0,17.7,34.5,47.8,0
Hirsch Cr,Catch + Escapement,1994,,"4,860","27,877","4,034",,"36,771",0,13.2,75.8,11,0
Hirsch Cr,Catch + Escapement,1995,,"14,657","14,821","5,600",288,"35,366",0,41.4,41.9,15.8,0.8
Hirsch Cr,Catch + Escapement,1996,,"15,479","13,006",340,,"28,825",0,53.7,45.1,1.2,0
Hirsch Cr,Catch + Escapement,1997,,"2,109","10,014",352,,"12,475",0,16.9,80.3,2.8,0
Hirsch Cr,Catch + Escapement,1998,,949,"50,427",792,,"52,168",0,1.8,96.7,1.5,0
Hirsch Cr,Catch + Escapement,1999,,"1,042",722,"1,509",,"3,273",0,31.8,22.1,46.1,0
Hirsch Cr,Catch + Escapement,2000,,,"1,131",55,,"1,186",0,0,95.4,4.6,0
Hirsch Cr,Catch + Escapement,2001,,"2,045","1,153",,,"3,198",0,63.9,36.1,0,0
Hirsch Cr,Catch + Escapement,2002,,"3,090","7,025",257,,"10,372",0,29.8,67.7,2.5,0
Hirsch Cr,Catch + Escapement,2003,,"1,221","4,265",14,,"5,500",0,22.2,77.5,0.3,0
Hopedale Ch,Catch,1993,,183,,,,183,0,100,0,0,0
Hopedale Ch,Catch,1994,,118,"4,256",,,"4,374",0,2.7,97.3,0,0
Hopedale Ch,Catch,1995,,62,177,417,,656,0,9.5,27,63.6,0
Hopedale Ch,Catch,1996,,,201,68,,269,0,0,74.7,25.3,0
Hopedale Ch,Catch,1997,,,,103,,103,0,0,0,100,0
Hopedale Ch,Escapement,1993,,146,,,,146,0,100,0,0,0
Hopedale Ch,Escapement,1994,,60,"4,762",,,"4,822",0,1.2,98.8,0,0
Hopedale Ch,Escapement,1995,,204,618,"2,166",,"2,988",0,6.8,20.7,72.5,0
Hopedale Ch,Escapement,1996,,,590,52,54,696,0,0,84.8,7.5,7.8
Hopedale Ch,Escapement,1997,,,,95,,95,0,0,0,100,0
Hopedale Ch,Catch + Escapement,1993,,330,,,,330,0,100,0,0,0
Hopedale Ch,Catch + Escapement,1994,,179,"9,018",,,"9,197",0,1.9,98.1,0,0
Hopedale Ch,Catch + Escapement,1995,,266,795,"2,583",,"3,644",0,7.3,21.8,70.9,0
Hopedale Ch,Catch + Escapement,1996,,,791,120,54,965,0,0,82,12.4,5.6
Hopedale Ch,Catch + Escapement,1997,,,,199,,199,0,0,0,100,0
Hopedale Sl,Catch,1993,,5,,,,5,0,100,0,0,0
Hopedale Sl,Catch,1994,,0,128,,,128,0,0,100,0,0
Hopedale Sl,Catch,1995,,,0,13,,13,0,0,0,100,0
Hopedale Sl,Catch,1996,,,,0,,0,,,,,
Hopedale Sl,Escapement,1994,,,144,,,144,0,0,100,0,0
Hopedale Sl,Escapement,1995,,,,66,,66,0,0,0,100,0
Hopedale Sl,Escapement,1996,,,,,2,2,0,0,0,0,100
Hopedale Sl,Catch + Escapement,1993,,5,,,,5,0,100,0,0,0
Hopedale Sl,Catch + Escapement,1994,,0,272,,,272,0,0,100,0,0
Hopedale Sl,Catch + Escapement,1995,,,0,78,,78,0,0,0,100,0
Hopedale Sl,Catch + Escapement,1996,,,,0,2,2,0,0,0,0,100
Humphreys Cr,Catch,1987,,"1,944",,,,"1,944",0,100,0,0,0
Humphreys Cr,Catch,1988,,681,"3,893",,,"4,574",0,14.9,85.1,0,0
Humphreys Cr,Catch,1989,,,98,,,98,0,0,100,0,0
Humphreys Cr,Catch,1990,,,,245,,245,0,0,0,100,0
Humphreys Cr,Catch,1991,,62,,,,62,0,100,0,0,0
Humphreys Cr,Catch,1992,,15,65,,,80,0,18.8,81.3,0,0
Humphreys Cr,Catch,1993,,,78,,,78,0,0,100,0,0
Humphreys Cr,Catch,1994,,,,96,,96,0,0,0,100,0
Humphreys Cr,Escapement,1987,,"4,373",,,,"4,373",0,100,0,0,0
Humphreys Cr,Escapement,1988,,416,"7,305",,,"7,721",0,5.4,94.6,0,0
Humphreys Cr,Escapement,1989,,,"3,812",,,"3,812",0,0,100,0,0
Humphreys Cr,Escapement,1991,,174,,,,174,0,100,0,0,0
Humphreys Cr,Catch + Escapement,1987,,"6,317",,,,"6,317",0,100,0,0,0
Humphreys Cr,Catch + Escapement,1988,,"1,097","11,198",,,"12,295",0,8.9,91.1,0,0
Humphreys Cr,Catch + Escapement,1989,,,"3,910",,,"3,910",0,0,100,0,0
Humphreys Cr,Catch + Escapement,1990,,,,245,,245,0,0,0,100,0
Humphreys Cr,Catch + Escapement,1991,,237,,,,237,0,100,0,0,0
Humphreys Cr,Catch + Escapement,1992,,15,65,,,80,0,18.8,81.3,0,0
Humphreys Cr,Catch + Escapement,1993,,,78,,,78,0,0,100,0,0
Humphreys Cr,Catch + Escapement,1994,,,,96,,96,0,0,0,100,0
Inch Cr,Catch,1980,,"2,077","1,783",,,"3,860",0,53.8,46.2,0,0
Inch Cr,Catch,1981,,,34,,,34,0,0,100,0,0
Inch Cr,Catch,1982,,542,967,50,,"1,559",0,34.8,62,3.2,0
Inch Cr,Catch,1984,,547,"1,452",,,"1,999",0,27.4,72.6,0,0
Inch Cr,Catch,1985,,,"2,225",,,"2,225",0,0,100,0,0
Inch Cr,Catch,1986,,272,557,"1,287",,"2,116",0,12.9,26.3,60.8,0
Inch Cr,Catch,1987,,204,"1,474",25,,"1,703",0,12,86.6,1.5,0
Inch Cr,Catch,1988,,"1,634","6,281",568,,"8,483",0,19.3,74,6.7,0
Inch Cr,Catch,1989,,41,"1,828",789,,"2,658",0,1.5,68.8,29.7,0
Inch Cr,Catch,1990,,133,"2,677",442,,"3,252",0,4.1,82.3,13.6,0
Inch Cr,Catch,1991,,"1,110","1,879",623,,"3,612",0,30.7,52,17.2,0
Inch Cr,Catch,1992,,630,"7,213",291,7,"8,141",0,7.7,88.6,3.6,0.1
Inch Cr,Catch,1993,,"1,262","4,224","1,473",,"6,959",0,18.1,60.7,21.2,0
Inch Cr,Catch,1994,,"4,806","9,790",394,17,"15,007",0,32,65.2,2.6,0.1
Inch Cr,Catch,1995,,688,"3,238",228,,"4,154",0,16.6,77.9,5.5,0
Inch Cr,Catch,1996,,"2,255",836,64,,"3,155",0,71.5,26.5,2,0
Inch Cr,Catch,1997,,996,"7,467",107,,"8,570",0,11.6,87.1,1.2,0
Inch Cr,Catch,1998,,"10,583","10,792",420,,"21,795",0,48.6,49.5,1.9,0
Inch Cr,Catch,1999,,"6,597","7,189",618,,"14,404",0,45.8,49.9,4.3,0
Inch Cr,Catch,2000,,212,"3,011",59,,"3,282",0,6.5,91.7,1.8,0
Inch Cr,Catch,2001,,"2,666","6,022",41,,"8,729",0,30.5,69,0.5,0
Inch Cr,Catch,2002,,"4,895","3,499",703,,"9,097",0,53.8,38.5,7.7,0
Inch Cr,Catch,2003,,"1,774","7,233",20,,"9,027",0,19.7,80.1,0.2,0
Inch Cr,Catch,2004,,607,"1,357",,,"1,964",0,30.9,69.1,0,0
Inch Cr,Catch,2005,,,"4,622",,,"4,622",0,0,100,0,0
Inch Cr,Escapement,1980,,"1,870","1,609",,,"3,479",0,53.8,46.2,0,0
Inch Cr,Escapement,1981,,"1,155",547,51,,"1,753",0,65.9,31.2,2.9,0
Inch Cr,Escapement,1982,,"3,186","2,936",36,,"6,158",0,51.7,47.7,0.6,0
Inch Cr,Escapement,1983,,"3,074","2,137",51,,"5,262",0,58.4,40.6,1,0
Inch Cr,Escapement,1984,,"1,419",955,,,"2,374",0,59.8,40.2,0,0
Inch Cr,Escapement,1985,,"2,324","12,107",28,,"14,459",0,16.1,83.7,0.2,0
Inch Cr,Escapement,1986,,"2,166","7,698",424,,"10,288",0,21.1,74.8,4.1,0
Inch Cr,Escapement,1987,,"3,104","8,437",216,,"11,757",0,26.4,71.8,1.8,0
Inch Cr,Escapement,1988,,246,"8,136",779,,"9,161",0,2.7,88.8,8.5,0
Inch Cr,Escapement,1989,,81,"1,155",167,,"1,403",0,5.8,82.3,11.9,0
Inch Cr,Escapement,1990,,46,773,23,,842,0,5.5,91.8,2.7,0
Inch Cr,Escapement,1991,,309,759,144,,"1,212",0,25.5,62.6,11.9,0
Inch Cr,Escapement,1992,,"1,119",960,12,1,"2,092",0,53.5,45.9,0.6,0
Inch Cr,Escapement,1993,,387,"3,596",204,,"4,187",0,9.2,85.9,4.9,0
Inch Cr,Escapement,1994,,834,"2,811",88,,"3,733",0,22.3,75.3,2.4,0
Inch Cr,Escapement,1995,,386,"1,392",462,,"2,240",0,17.2,62.1,20.6,0
Inch Cr,Escapement,1996,,609,235,13,,857,0,71.1,27.4,1.5,0
Inch Cr,Escapement,1997,,445,"2,607",20,,"3,072",0,14.5,84.9,0.7,0
Inch Cr,Escapement,1998,,"1,657","5,599",139,,"7,395",0,22.4,75.7,1.9,0
Inch Cr,Escapement,1999,,"1,228","1,560",179,,"2,967",0,41.4,52.6,6,0
Inch Cr,Escapement,2000,,336,"3,043",56,,"3,435",0,9.8,88.6,1.6,0
Inch Cr,Escapement,2001,,"1,763","3,742",53,,"5,558",0,31.7,67.3,1,0
Inch Cr,Escapement,2002,,"2,045","1,312",270,,"3,627",0,56.4,36.2,7.4,0
Inch Cr,Escapement,2003,,472,"2,502",26,,"3,000",0,15.7,83.4,0.9,0
Inch Cr,Catch + Escapement,1980,,"3,947","3,392",,,"7,339",0,53.8,46.2,0,0
Inch Cr,Catch + Escapement,1981,,"1,155",581,51,,"1,787",0,64.6,32.5,2.9,0
Inch Cr,Catch + Escapement,1982,,"3,728","3,903",86,,"7,717",0,48.3,50.6,1.1,0
Inch Cr,Catch + Escapement,1983,,"3,074","2,137",51,,"5,262",0,58.4,40.6,1,0
Inch Cr,Catch + Escapement,1984,,"1,966","2,407",,,"4,373",0,45,55,0,0
Inch Cr,Catch + Escapement,1985,,"2,324","14,332",28,,"16,684",0,13.9,85.9,0.2,0
Inch Cr,Catch + Escapement,1986,,"2,438","8,255","1,711",,"12,404",0,19.7,66.6,13.8,0
Inch Cr,Catch + Escapement,1987,,"3,308","9,912",241,,"13,461",0,24.6,73.6,1.8,0
Inch Cr,Catch + Escapement,1988,,"1,880","14,417","1,347",,"17,644",0,10.7,81.7,7.6,0
Inch Cr,Catch + Escapement,1989,,122,"2,983",956,,"4,061",0,3,73.5,23.5,0
Inch Cr,Catch + Escapement,1990,,179,"3,450",464,,"4,093",0,4.4,84.3,11.3,0
Inch Cr,Catch + Escapement,1991,,"1,419","2,638",767,,"4,824",0,29.4,54.7,15.9,0
Inch Cr,Catch + Escapement,1992,,"1,749","8,173",304,8,"10,234",0,17.1,79.9,3,0.1
Inch Cr,Catch + Escapement,1993,,"1,649","7,820","1,677",,"11,146",0,14.8,70.2,15,0
Inch Cr,Catch + Escapement,1994,,"5,640","12,601",482,17,"18,740",0,30.1,67.2,2.6,0.1
Inch Cr,Catch + Escapement,1995,,"1,074","4,630",691,,"6,395",0,16.8,72.4,10.8,0
Inch Cr,Catch + Escapement,1996,,"2,864","1,070",77,,"4,011",0,71.4,26.7,1.9,0
Inch Cr,Catch + Escapement,1997,,"1,441","10,074",127,,"11,642",0,12.4,86.5,1.1,0
Inch Cr,Catch + Escapement,1998,,"12,240","16,391",560,,"29,191",0,41.9,56.2,1.9,0
Inch Cr,Catch + Escapement,1999,,"7,826","8,748",797,,"17,371",0,45.1,50.4,4.6,0
Inch Cr,Catch + Escapement,2000,,547,"6,054",114,,"6,715",0,8.1,90.2,1.7,0
Inch Cr,Catch + Escapement,2001,,"4,429","9,764",95,,"14,288",0,31,68.3,0.7,0
Inch Cr,Catch + Escapement,2002,,"6,939","4,810",974,,"12,723",0,54.5,37.8,7.7,0
Inch Cr,Catch + Escapement,2003,,"2,246","9,735",46,,"12,027",0,18.7,80.9,0.4,0
Inch Cr,Catch + Escapement,2004,,607,"1,357",,,"1,964",0,30.9,69.1,0,0
Inch Cr,Catch + Escapement,2005,,,"4,622",,,"4,622",0,0,100,0,0
Kildala R,Catch,1987,,"1,269",,,,"1,269",0,100,0,0,0
Kildala R,Catch,1988,,"1,453","3,787",,,"5,240",0,27.7,72.3,0,0
Kildala R,Catch,1989,,,258,,,258,0,0,100,0,0
Kildala R,Catch,1990,,141,,283,,424,0,33.3,0,66.7,0
Kildala R,Catch,1991,,170,337,,,507,0,33.5,66.5,0,0
Kildala R,Catch,1992,,176,778,,,954,0,18.4,81.6,0,0
Kildala R,Catch,1993,,,222,67,,289,0,0,76.8,23.2,0
Kildala R,Catch,1994,,117,286,310,,713,0,16.4,40.1,43.5,0
Kildala R,Catch,1995,,117,51,,,168,0,69.6,30.4,0,0
Kildala R,Catch,1996,,504,228,,,732,0,68.9,31.1,0,0
Kildala R,Catch,1997,,168,159,,,327,0,51.4,48.6,0,0
Kildala R,Catch,1998,,529,"2,884",,,"3,413",0,15.5,84.5,0,0
Kildala R,Catch,1999,,163,402,287,,852,0,19.1,47.2,33.7,0
Kildala R,Catch,2000,,,428,31,,459,0,0,93.2,6.8,0
Kildala R,Catch,2001,,494,696,,,"1,190",0,41.5,58.5,0,0
Kildala R,Catch,2002,,,"1,734",155,,"1,889",0,0,91.8,8.2,0
Kildala R,Escapement,1987,,"2,845",,,,"2,845",0,100,0,0,0
Kildala R,Escapement,1988,,"1,577","5,895",,,"7,472",0,21.1,78.9,0,0
Kildala R,Escapement,1989,,,"10,838",,,"10,838",0,0,100,0,0
Kildala R,Escapement,1990,,182,,285,,467,0,39,0,61,0
Kildala R,Escapement,1991,,726,"2,565",,,"3,291",0,22.1,77.9,0,0
Kildala R,Escapement,1992,,583,"7,852",103,,"8,538",0,6.8,92,1.2,0
Kildala R,Escapement,1993,,826,"4,381",582,,"5,789",0,14.3,75.7,10.1,0
Kildala R,Escapement,1994,,"1,442","4,899",812,,"7,153",0,20.2,68.5,11.4,0
Kildala R,Escapement,1995,,"12,645","5,304",581,,"18,530",0,68.2,28.6,3.1,0
Kildala R,Escapement,1996,,"6,808","11,096",83,,"17,987",0,37.8,61.7,0.5,0
Kildala R,Escapement,1997,,"1,069","4,573",307,,"5,949",0,18,76.9,5.2,0
Kildala R,Escapement,1998,,,"26,692",374,,"27,066",0,0,98.6,1.4,0
Kildala R,Escapement,1999,,406,,,,406,0,100,0,0,0
Kildala R,Escapement,2000,,,188,,,188,0,0,100,0,0
Kildala R,Catch,1990,,141,,283,,424,0,33.3,0,66.7,0
Kildala R,Catch + Escapement,1987,,"4,114",,,,"4,114",0,100,0,0,0
Kildala R,Catch + Escapement,1988,,"3,030","9,682",,,"12,712",0,23.8,76.2,0,0
Kildala R,Catch + Escapement,1989,,,"11,096",,,"11,096",0,0,100,0,0
Kildala R,Catch + Escapement,1990,,323,,569,,892,0,36.2,0,63.8,0
Kildala R,Catch + Escapement,1991,,896,"2,901",,,"3,797",0,23.6,76.4,0,0
Kildala R,Catch + Escapement,1992,,759,"8,630",103,,"9,492",0,8,90.9,1.1,0
Kildala R,Catch + Escapement,1994,,"1,558","5,185","1,122",,"7,865",0,19.8,65.9,14.3,0
Kildala R,Catch + Escapement,1995,,"12,762","5,355",581,,"18,698",0,68.3,28.6,3.1,0
Kildala R,Catch + Escapement,1996,,"7,313","11,324",83,,"18,720",0,39.1,60.5,0.4,0
Kildala R,Catch + Escapement,1997,,"1,237","4,731",307,,"6,275",0,19.7,75.4,4.9,0
Kildala R,Catch + Escapement,1998,,529,"29,575",374,,"30,478",0,1.7,97,1.2,0
Kildala R,Catch + Escapement,1999,,568,402,287,,"1,257",0,45.2,32,22.8,0
Kildala R,Catch + Escapement,2000,,,617,31,,648,0,0,95.2,4.8,0
Kildala R,Catch + Escapement,2001,,494,696,,,"1,190",0,41.5,58.5,0,0
Kildala R,Catch + Escapement,2002,,,"1,734",155,,"1,889",0,0,91.8,8.2,0
Kimsquit R,Catch,1991,,253,,,,253,0,100,0,0,0
Kimsquit R,Catch,1992,,,947,,,947,0,0,100,0,0
Kimsquit R,Catch,1993,,,,165,,165,0,0,0,100,0
Kimsquit R,Catch,1994,,,,,13,13,0,0,0,0,100
Kimsquit R,Escapement,1992,,,55,,,55,0,0,100,0,0
Kimsquit R,Escapement,1993,,,,630,,630,0,0,0,100,0
Kimsquit R,Catch + Escapement,1991,,253,,,,253,0,100,0,0,0
Kimsquit R,Catch + Escapement,1992,,,"1,002",,,"1,002",0,0,100,0,0
Kimsquit R,Catch + Escapement,1993,,,,795,,795,0,0,0,100,0
Kimsquit R,Catch + Escapement,1994,,,,,13,13,0,0,0,0,100
Kitasoo Cr,Catch,1992,,62,,,,62,0,100,0,0,0
Kitasoo Cr,Catch,1993,,11,"6,412",,,"6,423",0,0.2,99.8,0,0
Kitasoo Cr,Catch,1994,,754,498,221,,"1,473",0,51.2,33.8,15,0
Kitasoo Cr,Catch,1995,,112,352,69,11,544,0,20.6,64.7,12.7,2
Kitasoo Cr,Catch,1996,,37,16,43,,96,0,38.5,16.7,44.8,0
Kitasoo Cr,Catch,1997,,344,399,5,,748,0,46,53.3,0.7,0
Kitasoo Cr,Catch,1998,,173,"3,206",129,,"3,508",0,4.9,91.4,3.7,0
Kitasoo Cr,Catch,1999,,34,757,372,,"1,163",0,2.9,65.1,32,0
Kitasoo Cr,Catch,2000,,4,86,31,,121,0,3.3,71.1,25.6,0
Kitasoo Cr,Catch,2001,,471,184,84,,739,0,63.7,24.9,11.4,0
Kitasoo Cr,Catch,2002,,402,754,31,,"1,187",0,33.9,63.5,2.6,0
Kitasoo Cr,Catch,2003,,,"13,079",355,,"13,434",0,0,97.4,2.6,0
Kitasoo Cr,Escapement,1995,,171,681,24,,876,0,19.5,77.7,2.7,0
Kitasoo Cr,Escapement,1996,,979,443,15,16,"1,453",0,67.4,30.5,1,1.1
Kitasoo Cr,Escapement,1997,,212,"2,525",7,,"2,744",0,7.7,92,0.3,0
Kitasoo Cr,Escapement,1998,,489,810,176,,"1,475",0,33.2,54.9,11.9,0
Kitasoo Cr,Escapement,1999,,33,"1,829",103,,"1,965",0,1.7,93.1,5.2,0
Kitasoo Cr,Catch + Escapement,1992,,62,,,,62,0,100,0,0,0
Kitasoo Cr,Catch + Escapement,1993,,11,"6,412",,,"6,423",0,0.2,99.8,0,0
Kitasoo Cr,Catch + Escapement,1994,,754,498,221,,"1,473",0,51.2,33.8,15,0
Kitasoo Cr,Catch + Escapement,1995,,283,"1,033",93,11,"1,420",0,19.9,72.7,6.5,0.8
Kitasoo Cr,Catch + Escapement,1996,,"1,016",460,58,16,"1,550",0,65.5,29.7,3.7,1
Kitasoo Cr,Catch + Escapement,1997,,556,"2,924",12,,"3,492",0,15.9,83.7,0.3,0
Kitasoo Cr,Catch + Escapement,1998,,661,"4,016",305,,"4,982",0,13.3,80.6,6.1,0
Kitasoo Cr,Catch + Escapement,1999,,67,"2,585",475,,"3,127",0,2.1,82.7,15.2,0
Kitasoo Cr,Catch + Escapement,2000,,4,86,31,,121,0,3.3,71.1,25.6,0
Kitasoo Cr,Catch + Escapement,2001,,471,184,84,,739,0,63.7,24.9,11.4,0
Kitasoo Cr,Catch + Escapement,2002,,402,754,31,,"1,187",0,33.9,63.5,2.6,0
Kitasoo Cr,Catch + Escapement,2003,,,"13,079",355,,"13,434",0,0,97.4,2.6,0
